Name,Platform,Date (relative),Product_ID,Image,Subscription,Entitlement,Active,Downloadable,Pre-Order,Title_ID
Jak and Daxter: The Precursor Legacy™,PS4,32,UP9000-CUSA02522_00-SCUS971240000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02522_00/1/i_c3445a390829bb676e7ed5865c829b9e876c0629c2fbe16b660d6d3f81c0ac77/i/icon0.png,NONE,UP9000-CUSA02522_00-SCUS971240000001,true,true,,CUSA02522_00
A Plague Tale: Innocence,PS4,31,UP4133-PPSA02388_00-APLAGUETALEGAME0,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA11032_00/2/i_ef9e46dcb0b0a2d797fbe90bca8c457bf33b6c53a53b4a633cc3ad9c47690d69/i/icon0.png,NONE,UP4133-CUSA11032_00-APLAGUETALEGAME0,true,true,,CUSA11032_00
Chorus,PS4,30,UP2047-PPSA01591_00-CHORUSGAMESHARED,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA20227_00/5/i_a4675bdd75497c51326f21dae567acc93955fbd081bb36b89621c52a6dc44211/i/icon0.png,NONE,UP2047-CUSA20227_00-CHORUSGAMEUSA000,true,true,,CUSA20227_00
A Plague Tale: Innocence,PS5,29,UP4133-PPSA02388_00-APLAGUETALEGAME0,https://image.api.playstation.com/sgst/prod/00/PPSA02388_00/app/info/2/f_c170d60f13edbb77b6e982ad569a45f254a705a8502e703d6b681d0e1754daf7/icon0.png,NONE,UP4133-PPSA02388_00-APLAGUETALEGAME0,true,true,,PPSA02388_00
Chorus,PS5,28,UP2047-PPSA01591_00-CHORUSGAMESHARED,https://image.api.playstation.com/sgst/prod/00/PPSA01591_00/app/info/36/fi_98c47a0bb02b0fcd702ae9e40464783d55678b27d4b061397a6ce2f6acf98263/icon0.png,NONE,UP2047-PPSA01591_00-CHORUSGAMESHARED,true,true,,PPSA01591_00
The Matrix Awakens: An Unreal Engine 5 Experience,PS5,27,UP1477-PPSA05753_00-MATRIXUNREALDEMO,https://image.api.playstation.com/sgst/prod/00/PPSA05753_00/app/info/4/f_b7975b670862285e938ae2224f6404c64b3ddbcf86cb6104f4d08f45259069ce/icon0.png,NONE,UP1477-PPSA05753_00-MATRIXUNREALDEMO,true,true,,PPSA05753_00
The Sinking City,PS4,26,UP4008-CUSA13337_00-THESINKINGCITYUA,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA13337_00/2/i_dfbdd35ea072ae5fc3e30decaeca636e2cc290dbb1e5706cd6576abb55aa93d6/i/icon0.png,NONE,UP4008-CUSA13337_00-THESINKINGCITYUA,true,true,,CUSA13337_00
Apex Legends,PS4,25,UP0006-CUSA12540_00-APEXLEGENDRSPWN1,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA12540_00/2/i_24841c4fffbdc50bc1e49a3acf6e74060969fac334fe7b20da467fdff4de7fa0/i/icon0.png,NONE,UP0006-CUSA12540_00-APEXLEGENDRSPWN1,true,true,,CUSA12540_00
Amazon Prime Video,PS4,24,UP2064-CUSA00130_00-AIV00000000000US,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00130_00/1/i_4f8281df05ef4c49bbfe64e93952ad25e2a86253821ac32efd428565df3b9d38/i/icon0.png,NONE,UP2064-CUSA00130_00-AIV00000000000US,true,true,,CUSA00130_00
Destiny 2,PS4,23,UP0002-CUSA05042_00-D2SHADOWPRE00001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05042_00/2/i_48d0fdd49edd253553e6dc637370e44480ace5ea21056e1ec2501265b9e99933/i/icon0.png,NONE,UP0002-CUSA05042_00-DESTINYTHEGAME02,true,true,,CUSA05042_00
The Art of Horizon Zero Dawn,PS4,22,UP9000-CUSA07553_00-DIGIARTBOOK00000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07553_00/2/i_feac252b40796793f5c97ebd0bb48818c22fb004d40f257a0e4be66076232cfe/i/icon0.png,NONE,UP9000-CUSA07553_00-DIGIARTBOOK00000,true,true,,CUSA07553_00
JUMP FORCE Beta test version 1,PS4,21,UP0700-CUSA13452_00-JUMPFORCECBTU000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA13452_00/2/i_0d00d3ac74a51451f24376d242e2883f781629253648029fa3e8057321d3dd23/i/icon0.png,NONE,UP0700-CUSA13452_00-JUMPFORCECBTU000,true,true,,CUSA13452_00
Battlefield V™ Open Beta,PS4,20,UP0006-CUSA13204_00-BATTLEFIELDVBETA,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA13204_00/1/i_33d488d49052f5b954a7f05a956b0fd4ac2930e6bdd03a578918bac45ba3c477/i/icon0_01.png,NONE,UP0006-CUSA13204_00-BATTLEFIELDVBETA,true,true,,CUSA13204_00
Marvel's Spider-Man,PS4,19,UP9000-CUSA02299_00-MARVELSSPIDERMAN,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02299_00/2/i_97af48e1b72f35283fa0119f5bb18221d3cc04d1e2c4fcff07802b0eb6a9de0c/i/icon0.png,NONE,UP9000-CUSA02299_00-MARVELSSPIDERMAN,true,true,,CUSA02299_00
Plex,PS4,18,UP4544-CUSA01850_00-PLEX000000000000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01850_00/3/i_caa5051a3f410c58279fe9f119925d15aeb305b08096838579ec3a24a6f85cbb/i/icon0.png,NONE,UP4544-CUSA01850_00-PLEX000000000000,true,true,,CUSA01850_00
FINAL FANTASY IX,PS4,17,UP0082-CUSA08877_00-FFIXDIGITALED000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA08877_00/2/i_9a5a0bf232c6d0cf9171aa33909e77ebf4cdb8e24c6c7013300e1515bc718bc5/i/icon0.png,NONE,UP0082-CUSA08877_00-FF9FORPS42017000,true,true,,CUSA08877_00
DISSIDIA FINAL FANTASY NT Closed Beta Test,PS4,16,UP0082-CUSA09391_00-BETATESTVERSION0,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA09391_00/2/i_3e84625aa086b86857f3fa3e92f0c624fdb1eccb69a64a408ed7659f7c29b16c/i/icon0.png,NONE,UP0082-CUSA09391_00-BETATESTVERSION0,true,true,,CUSA09391_00
Dreadnought,PS4,15,UP2346-CUSA06101_00-DREADNOUGHTNA001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA06101_00/3/i_5a1c32ef14f23ee3e60f68396a32855f5b220ec11fc7d1d77135dc46d942ff2f/i/icon0.png,NONE,UP2346-CUSA06101_00-DREADNOUGHTNA001,true,true,,CUSA06101_00
LittleBigPlanet™3,PS4,14,UP9000-CUSA00473_00-LBP3GAME00000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00473_00/3/i_c5f40088a969d3f2b24d207e04a787b54ae2b9a6107158b407fc5ad7ef05bf6d/i/icon0.png,NONE,UP9000-CUSA00473_00-LBP3GAME00000001,true,true,,CUSA00473_00
YouTube,PS4,13,UP4381-CUSA01015_00-YOUTUBESCEA00000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01015_00/3/i_46a63e02581b254dbaa76d990ac4c680f6b0e7aa8cedac83c486da87e59c6da1/i/icon0.png,NONE,UP4381-CUSA01015_00-YOUTUBESCEA00000,true,true,,CUSA01015_00
Twitch,PS4,12,UP8902-CUSA03285_00-TWITCHPS4APPSCEA,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03285_00/1/i_db9a67dfe2420e9bb7036dbb78d20b5d797f7503da6bd61428fad26ec4c995bd/i/icon0.png,NONE,UP8902-CUSA03285_00-TWITCHPS4APPSCEA,true,true,,CUSA03285_00
FINAL FANTASY XIV,PS4,11,UP0082-CUSA00288_00-B000000000001677,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00288_00/1/i_8cb84db20139277db26a7005cfb2273701c15be1b6d398f3223cc08fe3f416c1/i/icon0_01.png,NONE,UP0082-CUSA00288_00-FFXIVARRPS400000,true,true,,CUSA00288_00
Call of Duty®: Modern Warfare® Remastered,PS4,10,UP0002-CUSA04762_00-CODIWLEGACY00001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03522_00/3/i_3343153fc0f2484d3342fa28303fc0fecaba76d7440b4bb5e2b8067da43221a2/i/icon0.png,NONE,UP0002-CUSA03522_00-CODMWRTHEGAME001,true,true,,CUSA03522_00
Call of Duty®: Infinite Warfare,PS4,9,UP0002-CUSA04762_00-CODIWLEGACY00001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA04762_00/5/i_fc1c1595c43dd2ad4a2f4c6a352ebd415f39a999273030778a4e7b4906affe31/i/icon0.png,NONE,UP0002-CUSA04762_00-CODIWTHEGAME0001,true,true,,CUSA04762_00
Battlefield™ 1,PS4,8,UP0006-CUSA02429_00-BATTLEFIELD01000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02429_00/3/i_757d24063bc5a200558c77f8c68e138e47a211dfa0e9af72c713ee689cc9cb1e/i/icon0_01.png,NONE,UP0006-CUSA02429_00-BATTLEFIELD01000,true,true,,CUSA02429_00
Life Is Strange™,PS4,7,UP0082-CUSA01442_00-LIFEISSTRANGE001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01442_00/2/i_e3348f40ecee98fafff2eac8626cc2ef5852f0cee018c9c4ed78c0d2946d527b/i/icon0.png,NONE,UP0082-CUSA01442_00-LIFEISSTRANGE001,true,true,,CUSA01442_00
Star Trek Online,PS4,6,UP1980-CUSA05752_00-2016STARTREK0000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05752_00/1/i_ca7b3e32e59621d4d8eb729a97defe1a64f017daea8e6afdf9662c7ae8eb34e4/i/icon0.png,NONE,UP1980-CUSA05752_00-2016STARTREK0000,true,true,,CUSA05752_00
Media Player,PS4,5,IP9100-CUSA02012_00-PS4MEDIAPLAYER00,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02012_00/1/i_018d3114f496346e1705e2165d8980995ee1253dc9a85c8cc1bfb8ffff1856cb/i/icon0.png,NONE,IP9100-CUSA02012_00-PS4MEDIAPLAYER00,true,true,,CUSA02012_00
Hulu,PS4,4,UT0008-CUSA00131_00-TESSERACT0000001,https://npmt.mgmt.tools.playstation.net/s3.action?mgmt-aws/UT0008/CUSA00131_00/BYRnwTRztHXOLjIXhuqUmsjjeLkdGutQ.png,NONE,UT0008-CUSA00131_00-TESSERACT0000001,true,true,,CUSA00131_00
Spotify,PS4,3,EP4950-CUSA01780_00-US00000000000000,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01780_00/1/i_024575a45a23482da2fa8c2ded636bd8f27116531a3c4843f7f1598e2aa682e7/i/icon0.png,NONE,EP4950-CUSA01780_00-0000000000000000,true,true,,CUSA01780_00
Call of Duty®: Infinite Warfare Beta,PS4,2,UP0002-CUSA04764_00-CODIWBETA0000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA04764_00/1/i_a393b81db601ad76b625fe1325a7e10d484f232cf0d6175a07d02111f4238674/i/icon0.png,NONE,UP0002-CUSA04764_00-CODIWBETA0000001,true,true,,CUSA04764_00
Netflix,PS4,1,UT0007-CUSA00129_00-NETFLIXPOLLUX001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00129_00/5/i_efbc000e87f0b2756c021a032d9695e82e6468910d525c6471819f7f24254541/i/icon0.png,NONE,UT0007-CUSA00129_00-NETFLIXPOLLUX001,true,true,,CUSA00129_00
name,platform,sortedIndex,productId,image,subscriptionService,entitlementId,isActive,isDownloadable,isPreOrder,titleId,"[{'property':'name','title':'Name'},{'property':'platform','title':'Platform'},{'property':'sortedIndex','title':'Date (relative)'},{'property':'productId','title':'Product_ID'},{'property':'image','title':'Image'},{'property':'subscriptionService','title':'Subscription'},{'property':'entitlementId','title':'Entitlement'},{'property':'isActive','title':'Active'},{'property':'isDownloadable','title':'Downloadable'},{'property':'isPreOrder','title':'Pre-Order'},{'property':'titleId','title':'Title_ID'}]",4.2.2
